Stadium,Seating Capacity,Region,Country,City,Image,Home Teams,Latitude,Longitude
Rungrado 1st of May Stadium ,114000,East Asia,North Korea,Pyongyang,,"Korea DPR national football team, Korea DPR women's national football team, April 25",39.0167979,125.7473609
Michigan Stadium,107601,North America,United States,"Ann Arbor, Michigan",,Michigan Wolverines football,42.2813722,-83.7484616
Ohio Stadium,102780,North America,United States,"Columbus, Ohio",,Ohio State Buckeyes football,39.9622601,-83.0007065
Melbourne Cricket Ground ,100024,Oceania,Australia,"Melbourne, Victoria",,"Australia national cricket team, Victoria cricket team, Melbourne Cricket Club, Melbourne Stars, Melbourne FC, Richmond FC, Collingwood FC, Hawthorn FC",-37.8142454,144.9631732
Camp Nou ,99354,Europe,Spain,"Barcelona, Catalonia",,FC Barcelona,41.3828939,2.1774322
Estadio Azteca ,95500,North America,Mexico,Mexico City,,"Club América, Cruz Azul, Mexico national football team",19.4326296,-99.1331785
FNB Stadium ,94736,Africa,South Africa,"Johannesburg, Gauteng",,"South Africa national football team, Kaizer Chiefs",-26.205,28.049722
New Administrative Capital Stadium ,93940,Africa,Egypt,New Administrative Capital,,Egypt national football team,30.023829,31.7549459
Rose Bowl Stadium,92800,North America,United States,"Pasadena, California",,UCLA Bruins,34.1476507,-118.144155
Cotton Bowl Stadium,92100,North America,United States,"Dallas, Texas",,,32.7762719,-96.7968559
Wembley Stadium ,90000,Europe,England,"London, England",,England national football team,51.4893335,-0.14405508452768728
Lusail Stadium ,88966,West Asia,Qatar,Lusail,,Qatar national football team,25.4228888,51.5197163
Bukit Jalil National Stadium ,87411,Southeast Asia,Malaysia,Kuala Lumpur,,Malaysia national football team[13],3.1516964,101.6942371
Borg el-Arab Stadium,86000,Africa,Egypt,Alexandria,,"Egypt national football team, Al Ittihad, Smouha",31.1991806,29.8951716
Estadio Santiago Bernabéu,85000,Europe,Spain,Madrid,,Real Madrid,40.4167047,-3.7035825
Estadio Mâs Monumental ,84567,South America,Argentina,Buenos Aires,,"Argentina national football team, River Plate",-34.6073387,-58.4432852
Stadium Australia,83500,Oceania,Australia,"Sydney, New South Wales",,"South Sydney Rabbitohs, Canterbury-Bankstown Bulldogs, New South Wales Blues, New South Wales Waratahs, Australia men's national soccer team, Australia national rugby union team",-33.8698439,151.2082848
MetLife Stadium,82500,North America,United States,"East Rutherford, New Jersey",,"New York Giants, New York Jets, United States men's national soccer team",40.833989,-74.0970865
Croke Park ,82300,Europe,Ireland,Dublin,,"Gaelic Athletic Association, Dublin GAA",53.3493795,-6.2605593
Jakarta International Stadium ,82000,Southeast Asia,Indonesia,Jakarta,,"Persija Jakarta, Indonesia national football team",-6.175247,106.8270488
Lambeau Field,81441,North America,United States,"Green Bay, Wisconsin",,Green Bay Packers,44.5126379,-88.0125794
SIGNAL IDUNA PARK ,81365,Europe,Germany,Dortmund,,Borussia Dortmund,51.5142273,7.4652789
Stade de France ,81338,Europe,France,Saint-Denis,,France national football team,48.935773,2.3580232
Grand Sports Arena of the Luzhniki Olympic Complex ,81000,Europe,Russia,Moscow,,,55.625578,37.6063916
Shah Alam Stadium,80372,Southeast Asia,Malaysia,"Shah Alam, Selangor",,Selangor FA,3.0739429,101.5185278
Estadio Monumental ,80093,South America,Peru,Lima,,Club Universitario de Deportes,-12.0621065,-77.0365256
Stadio Giuseppe Meazza ,80018,Europe,Italy,"Milan, Lombardy",,AC Milan and Internazionale,45.4641943,9.1896346
Stade des Martyrs ,80000,Africa,DR Congo,Kinshasa,,Congo DR national football team,-4.3196982,15.3424196
Moi International Sports Centre ,80000,Africa,Kenya,Nairobi,,Kenya national football team,-1.3026148499999999,36.82884201813725
Caesar's Superdome,76468,North America,United States,"New Orleans, Louisiana",,"New Orleans Saints, Sugar Bowl",29.9759983,-90.0782127
Arrowhead Stadium,76412,North America,United States,"Kansas City, Missouri",,Kansas City Chiefs,39.100105,-94.5781416
Empower Field,76125,North America,United States,Denver,,Denver Broncos,39.7392364,-104.984862
Atatürk Olimpiyat Stadyumu ,76092,Europe,Turkey,Istanbul,,,41.006381,28.9758715
Bank of America Stadium,74867,North America,United States,"Charlotte, North Carolina",,"Charlotte FC, Carolina Panthers",35.2272086,-80.8430827
Principality Stadium ,74500,Europe,Wales,Cardiff,,Wales national rugby union team,51.4816546,-3.1791934
Olympiastadion,74475,Europe,Germany,Berlin,,Hertha BSC,52.5108638,13.3989421
Cairo International Stadium,74100,Africa,Egypt,Cairo,,"Egypt national football team, Al Ahly, Zamalek",30.0443879,31.2357257
FirstEnergy Stadium,73200,North America,United States,Cleveland,,Cleveland Browns,41.4996574,-81.6936772
Estádio Nacional Mané Garrincha,72788,South America,Brazil,"Brasília, Distrito Federal",,"Brasília FC, Legião FC",-15.7934036,-47.8823172
M&T Bank Stadium,71008,North America,United States,Baltimore,,Baltimore Ravens,39.2908816,-76.610759
Mercedes-Benz Stadium,71000,North America,United States,"Atlanta, Georgia",,"Atlanta United FC, Atlanta Falcons",33.7489924,-84.3902644
Olympic National Sports Complex Stadium ,70000,Europe,Ukraine,Kyiv,,"Ukraine national football team, FC Dynamo Kyiv",50.4500336,30.5241361
SoFi Stadium,70000,North America,United States,"Inglewood, California",,,33.9562003,-118.353132
Seoul Olympic Stadium ,69950,East Asia,South Korea,Seoul,,,37.5666791,126.9782914
Bakı Olimpiya stadionu ,69870,West Asia,Azerbaijan,Baku,,Azerbaijan national football team,40.3755885,49.8328009
Olympic Stadium ,69618,Europe,Greece,"Marousi, Attica",,Greece national football team,38.0546653,23.8081533
Olympiastadion München,69250,Europe,Germany,Munich,,,48.1371079,11.5753822
Lumen Field,69000,North America,United States,"Seattle, Washington",,"Seattle Sounders FC, Seattle Seahawks",47.6038321,-122.330062
Estadio Olímpico Universitario,68954,North America,Mexico,Mexico City,,UNAM Pumas,19.4326296,-99.1331785
Gillette Stadium,68756,North America,United States,"Foxborough, Massachusetts",,"New England Patriots, New England Revolution",42.0653768,-71.2478308
King Abdullah Sports City Stadium ,68560,West Asia,Saudi Arabia,Jeddah,,"Saudi Arabia national football team, Al-Ahli Saudi FC, Al-Ittihad Saudi Club",21.5810088,39.1653612
Lincoln Financial Field,68532,North America,United States,Philadelphia,,"Philadelphia Eagles, Temple Owls football",39.9527237,-75.1635262
Levi's Stadium,68500,North America,United States,"Santa Clara, California",,San Francisco 49ers,37.2333253,-121.6846349
Acrisure Stadium,68400,North America,United States,Pittsburgh,,"Pittsburgh Steelers, Pittsburgh Panthers football",40.4416941,-79.9900861
Gazprom Arena,68134,Europe,Russia,Saint Petersburg,,FC Zenit Saint Petersburg,59.938732,30.316229
Salt Lake Stadium ,68000,South Asia,India,Kolkata,,"India national football team, Mohun Bagan Super Giant, East Bengal FC, Mohammedan SC",22.5726459,88.3638953
National Stadium,68000,East Asia,Japan,Tokyo,,,35.6821936,139.762221
TIAA Bank Field,67814,North America,United States,"Jacksonville, Florida",,Jacksonville Jaguars,30.3321838,-81.655651
Cívitas Metropolitano,70460,Europe,Spain,Madrid,,Atlético de Madrid,40.4167047,-3.7035825
Orange Vélodrome,67394,Europe,France,Marseille,,Olympique de Marseille,43.2961743,5.3699525
Puskás Aréna ,67215,Europe,Hungary,Budapest,,Hungary national football team,47.4978789,19.0402383
Scottish Gas Murrayfield Stadium,67144,Europe,Scotland,Edinburgh,,Scotland national rugby union team,55.9533456,-3.1883749
Lucas Oil Stadium,67000,North America,United States,"Indianapolis, Indiana",,Indianapolis Colts,39.7683331,-86.1583502
MorumBIS,66975,South America,Brazil,"São Paulo, São Paulo",,São Paulo FC,-23.5506507,-46.6333824
The Dome,66965,North America,United States,St. Louis,,St. Louis BattleHawks,38.6280278,-90.1910154
Yadegar-e-Emam Stadium,66833,West Asia,Iran,Tabriz,,Tractor Sazi FC,38.0738612,46.2978789
Seoul World Cup Stadium,66704,East Asia,South Korea,Seoul,,FC Seoul,37.5666791,126.9782914
US Bank Stadium,66655,North America,United States,Minneapolis,,Minnesota Vikings,44.9772995,-93.2654692
Daegu Stadium,66422,East Asia,South Korea,Daegu,,Daegu FC,35.8713,128.6018
Workers' Stadium,66161,East Asia,China,Beijing,,"Beijing Guoan, China national football team",39.9057136,116.3912972
London Stadium,66000,Europe,England,London,,West Ham United,51.4893335,-0.14405508452768728
Raymond James Stadium,65847,North America,United States,"Tampa, Florida",,"Tampa Bay Buccaneers, South Florida Bulls football, Tampa Bay Vipers",27.9477595,-82.458444
Hard Rock Stadium,65326,North America,United States,"Miami Gardens, Florida",,"Miami Dolphins, Miami Hurricanes football",25.9420377,-80.2456045
Olympic Stadium ,65255,North America,Canada,"Montreal, Quebec",,CF Montréal,45.5031824,-73.5698065
Basra International Stadium ,65227,West Asia,Iraq,Basra,,Iraq national football team,30.4952371,47.8090981
Camping World Stadium,65000,North America,United States,"Orlando, Florida",,,28.5421109,-81.3790304
Alamodome,65000,North America,United States,San Antonio,,UTSA Roadrunners football,29.4246002,-98.4951405
Ford Field,65000,North America,United States,Detroit,,Detroit Lions,42.3315509,-83.0466403
Stade Ibn Battuta,65000,Africa,Morocco,Tangier,,IR Tanger,35.7696302,-5.8033522
Estádio do Sport Lisboa e Benfica ,64642,Europe,Portugal,Lisbon,,Benfica,38.7077507,-9.1365919
Stade du 5-juillet-1962 ,64000,Africa,Algeria,Algiers,,Algeria national football team,36.772925,3.058819
Castelão,63903,South America,Brazil,"Fortaleza, Ceará",,"Ceará SC, Fortaleza EC",-3.7304512,-38.5217989
Saitama Stadium 2002,63700,East Asia,Japan,Saitama,,"Urawa Red Diamonds, Saitama Wild Knights",35.9754168,139.4160114
Ellis Park Stadium,62567,Africa,South Africa,"Johannesburg, Gauteng",,"Orlando Pirates FC, Emirates Johannesburg Lions",-26.205,28.049722
Tottenham Hotspur Stadium,62303,Europe,England,London,,Tottenham Hotspur,51.4893335,-0.14405508452768728
VELTINS-Arena,62271,Europe,Germany,Gelsenkirchen,,FC Schalke 04,51.5110321,7.0960124
Yizhong Sports Centre Stadium,62000,East Asia,China,"Qingdao, Shandong",,Qingdao Jonoon FC,36.0637967,120.3192081
Estádio Governador Magalhães Pinto,61846,South America,Brazil,"Belo Horizonte, Minas Gerais",,"Atlético Mineiro, Cruzeiro EC",-19.9227318,-43.9450948
King Fahd International Stadium,61781,West Asia,Saudi Arabia,Riyadh,,"Saudi Arabia national football team, Al-Hilal, Al-Nassr, Al-Shabab",24.638916,46.7160104
Soldier Field,61500,North America,United States,Chicago,,Chicago Bears,41.8755616,-87.6244212
Nanjing Olympic Sports Centre Stadium,61443,East Asia,China,"Nanjing, Jiangsu",,,32.0438284,118.7788631
Anfield,65000,Europe,England,"Liverpool, England",,Liverpool FC,53.4071991,-2.99168
Estadio Benito Villamarín,60720,Europe,Spain,Seville,,Real Betis,37.3886303,-5.9953403
Abuja Stadium ,60491,Africa,Nigeria,Abuja,,Nigeria national football team,9.0643305,7.4892974
